code,final,baseline,logPOP,dPOP,0-19,20-39,40-59,60-79,80+,d1PHHS,d2PHHS,d3PHHS,d4PHHS,d5PHHS,d6+PHHS,dHHS,dCER,days_since_100+_cases,cases
E08000029,-0.1190355,1.2824922,1.2318677,0.90409696,0.7730247,2.9821799,0.98593944,1.9388713,0.68417794,1.2938309,1.1028701,0.39575374,0.94064564,1.4290192,2.1111302,0.937343,1.309537,1.9502603,1.3101435
E08000030,-0.05764633,1.2824922,1.2023091,1.2288613,1.794606,2.2641199,0.20703754,1.6231453,-0.39509675,1.243164,0.97009194,0.59980947,1.6996993,1.1847191,3.4458938,1.4748849,1.3740144,1.9954922,1.4463804
E08000031,0.031261828,1.2824922,1.2125876,1.3276566,1.4630723,1.9394194,0.33722478,1.494728,-0.43384188,1.3562868,0.8390422,0.5478923,1.8012694,1.0590324,3.1209478,1.0537187,0.75194305,2.018574,1.4106532
E08000032,0.60267735,1.2824922,1.0349302,0.9901262,2.9463184,2.1845431,0.11534287,1.3938892,-1.3835534,1.2318155,0.6293756,1.5726148,2.0162034,1.0997764,4.3689146,1.8515157,0.78100944,1.9388797,0.80585897
E08000033,0.24049178,1.2824922,1.2335564,0.5524191,0.80821013,2.7619288,1.2357807,1.8751199,-0.74975693,1.4148306,1.1430907,0.5852819,1.7845893,1.4331173,2.4630396,0.36464292,1.424282,1.8375669,1.399252
E08000034,-0.2337552,1.2824922,1.1070107,0.8501936,1.3028103,2.335152,0.7158078,1.7049929,-0.90145725,1.3126836,1.0803993,0.9403213,1.7558091,1.4455807,3.2620127,1.0546017,0.8308715,1.9273674,1.341592
E08000035,0.6130057,1.2824922,0.83514833,0.9788115,0.9475152,1.032045,-0.3861814,1.4045302,-1.1136024,1.4127394,1.1271122,0.84336454,1.9176067,1.4375076,2.5286582,0.3470427,0.6371603,1.972838,0.42161343
E08000036,0.767419,1.2824922,1.168219,0.8258823,0.40712354,2.4468586,0.9912611,1.8913276,-0.60478485,1.3334668,1.1273925,-0.3821511,1.6806139,1.3682017,1.7702154,0.42887717,0.9883265,1.9273674,1.4883194
E09000002,-1.7709625,1.2824922,1.2328922,1.4154854,4.3325624,1.3252107,-0.029246982,0.78121334,-3.0221293,1.1486579,0.040480234,0.15263377,1.4434099,-0.7870266,3.865044,1.9003679,1.645101,1.9615586,1.275121
E09000003,-0.3857792,1.2824922,1.1386048,1.3683507,1.4804391,1.5808616,0.6917446,1.260546,-1.2053566,1.1785862,0.3802156,0.5854999,1.1040506,0.4386866,3.6133146,1.8682175,0.9219804,2.0546017,1.3718805
E09000004,-1.1878532,1.2824922,1.2191459,1.344053,1.2713016,2.1142163,0.8744484,1.4621491,-0.27819738,1.2187605,0.82456446,0.22008419,0.6035177,0.8712142,2.5007653,1.5362426,1.9217063,1.9841334,1.2835913
E09000005,-1.3273648,1.2824922,1.1766179,1.4401696,1.559546,0.98378015,0.3389637,1.1206579,-2.293492,1.0953498,-0.6454009,1.0835431,1.7485043,-0.86049634,4.2917914,1.3744761,1.1815162,2.0546017,1.341801
